###Quadrat plot data (nested sizes) froma paired fenced and unfenced plots on Molesworth. Plots established in early 2008 by NZ Forest Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transect,Plot No.,Species,Subplot1.Tier1,Subplot1.Tier2,Subplot1.Tier3,Subplot1.Tier4,Subplot1.Tier5,Subplot1.Tier6,Subplot2.Tier1,Subplot2.Tier2,Subplot2.Tier3,Subplot2.Tier4,Subplot2.Tier5,Subplot2.Tier6,Subplot3.Tier1,Subplot3.Tier2,Subplot3.Tier3,Subplot3.Tier4,Subplot3.Tier5,Subplot3.Tier6,Subplot4.Tier1,Subplot4.Tier2,Subplot4.Tier3,Subplot4.Tier4,Subplot4.Tier5,Subplot4.Tier6,Subplot5.Tier1,Subplot5.Tier2,Subplot5.Tier3,Subplot5.Tier4,Subplot5.Tier5,Subplot5.Tier6,Subplot6.Tier1,Subplot6.Tier2,Subplot6.Tier3,Subplot6.Tier4,Subplot6.Tier5,Subplot6.Tier6,BrowserSpecies,BrowserIntensity,Browser2Species,Browser2Intensity
PT,1 fenced,ROCK,3,,,,,,3,,,,,,3,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,
PT,1 fenced,HIEPIL,4,,,,,,4,,,,,,5,,,,,,5,,,,,,5,,,,,,5,,,,,,,,,
PT,1 fenced,ANTODO,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,ROSRUB,2,2,,,,,2,2,,,,,1,1,,,,,1,1,1,,,,1,1,1,,,,1,2,1,,,,,,,
PT,1 fenced,POACOL,3,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,UNCFUS,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,FESNOV,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,2,2,,,,,1,1,,,,,,,,
PT,1 fenced,PIMSER,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,RAOSUB,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,TRIPRA,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1,,,,,,,,
PT,1 fenced,RYTPUM,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,TRIARV,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,CELGRA,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,DIAARM,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,HIECAE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,RUMACE,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,GRASS,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,
PT,1 fenced,DEYAVE,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,
