#####SitedataenteredbyLizzie 2016,,,,,,,,,,,,,,,,,,,,
##GPS references in NZTM 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Line,Plot,Area,Date,People,Substrate,Cultural,East,North,Altitude,Aspect,Slope,Shape,Physiography,Time,Drainage,Species,Animal,Score,Pellets,Comments
CC,2Un,,,,,,,,,,,,,,,SCHpau,cattle,M,,
CC,2Un,,,,,,,,,,,,,,,SCHpau,hare,M,Yes,
CC,3Un,Cat Creek,22/03/16,"Sean, Lizzie",,Grazed,1590018,5328768,1086,100,3,Linear,Terrace,3.5,Good,FESrub,cattle,H,Yes,"Intense grazing, A peg crushed. Center peg up rooted"
CC,3Un,,,,,,,,,,,,,,,RYTset,cattle,M,,
CC,3Un,,,,,,,,,,,,,,,FESnov,cattle,L,,
CC,3Un,,,,,,,,,,,,,,,RYTset,hare,L,Yes,
D,1,Severn,27/02/16,"Sean, Graeme, Emi, Betka",Colluvial,,1601081,5340211,1000,45,14,Convex,Terrace,3,Good,FESrub,hare,L,Yes,"A,B,D and Center pegs up rooted (4). May have had cattle in area in past year"
D,1,,,,,,,,,,,,,,,,cattle,,Yes,
D,2,Severn,27/02/16,"Sean, Graeme, Emi, Betka",Colluvial,Grazed,1601162,5340390,1020,218,7,Linear,Terrace,3,Good,RYTset,hare,M,Yes,"Not grazed for two summers. A,C,D and Center pegs up rooted"
D,3,Severn,27/02/16,"Sean, Graeme, Emi, Betka",Colluvial,Grazed,1601236,5340576,1045,228,29,Linear,Face,3,Good,POAcit,dear,L,Yes,No cattle here for two summers. Grass growth crowding out native herbs
D,3,,,,,,,,,,,,,,,FESrub,dear,L,Yes,
D,4,Severn,27/02/16,"Sean, Graeme, Emi, Betka",Colluvial,Grazed,1601315,5340760,1070,280,29,Linear,Face,3.5,Good,POAcol,hare,L,Yes,Not grazed for two years priort measure
F,1,Crimea,03/03/16,"Sean, Emi, Betka",,Grazed,1590106,5325775,1356,44,35,Concave,Gully,4,Medium,CHIfla,hare,L,Yes,No cattle here. B and D pegs up rooted on scree. Stream through plot
F,2,Crimea,03/03/16,"Sean, Emi, Betka",Colluvial,Grazed,1590051,5325593,1386,355,28,Convex,Face,3,Good,RYTset,hare,L,Yes,No cattle here
F,2,,,,,,,,,,,,,,,RYTset,possum,L,Yes,
F,2,,,,,,,,,,,,,,,CHIfla,hare,M,Yes,
F,2,,,,,,,,,,,,,,,CHImac,hare,M,Yes,
