#####SitedataenteredbyLizzie 2016,,,,,,,,,,,,,,,,,,,,
##GPS references in NZTM 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Line,Plot,Area,Date,People,Substrate,Cultural,East,North,Altitude,Aspect,Slope,Shape,Physiography,Time,Drainage,Species,Animal,Score,Pellets,Comments
Molesworth,15,Sedgemere Tarn,19/02/16,"Sean, Graeme, Emi, Betka",Morraine,,1591167,5335924,1075,50,2,Concave,Terrace,3,Poor,COLeff,hare,L,Yes,Plot has intensive weed control with herbicide
Molesworth,15,,,,,,,,,,,,,,,AGRcap,hare,M,Yes,End =1591129   -5335955
Molesworth,15,,,,,,,,,,,,,,,TRIrep,hare,L,Yes,Species with signs of browse along transed
Molesworth,15,,,,,,,,,,,,,,,CARcol,hare,M,Yes,
N,1,Crimea,17/01/16,"Sean, Emi, Lizzie",Colluvial,,1585130,5311949,1130,275,18,Linear,Face,2.5,Good,POAcol,hare,L,Yes,
N,2,Crimea,17/01/16,"Sean, Emi, Lizzie",Colluvial,,1585210,5312142,1100,312,23,Linear,Face,2,Good,MELalp,hare,L,Yes,
N,3,Crimea,17/01/16,"Sean, Emi, Lizzie",Colluvial,,1585281,5312315,1080,165,33,,,3,Good,ACIaur,hare,L,Yes,
N,4,Crimea,17/01/16,"Sean, Emi, Lizzie",Colluvial,,1585360,5312474,1180,140,32,Linear,Face,3,Good,,,,,
O,1,Leader Dale,30/01/16,"Sean, Emi",Colluvial,None,1585611,5309660,1110,50,22,Convex,Ridge,3,Good,,pig,,Yes,Conspicuos pig rooting in plot. C. scoparius and P. contorta nearby.
O,1,,,,,,,,,,,,,,,ACIaur,hare,M,Yes,
O,1,,,,,,,,,,,,,,,ANTodo,dear,L,Yes,
O,2,Leader Dale,31/01/16,"Sean, Emi",Colluvial,,1585676,5309813,1050,355,27,Convex,Face,3.5,Good,MELalp,hare,H,Yes,C. scoparius near plot.
O,3,Leader Dale,30/01/16,"Sean, Emi",,None,1585735,5309961,1050,124,27,Linear,Ridge,2.5,Good,CHIfla,hare,L,Yes,
O,4,Leader Dale,30/01/16,"Sean, Emi",Colluvial,,1585825,5310170,1010,140,26,Convex,Face,3,Good,MELalp,hare,M,Yes,
P,1,Clarence,10/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1590028,5299994,930,316,27,Concave,Face,3.5,Good,,,,,No sign of cattle near plot.
P,2,Clarence,10/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1590124,5300268,950,180,24,Linear,Face,3,Good,CHIfla,hare,L,Yes,No cattle here. Pinrad colonising gulley and one 10m tree overhang.
P,3,Clarence,10/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1590188,5300436,1040,160,33,Linear,Face,3,Good,MELalp,hare,H,Yes,No cattle near plot. All pegs found.
P,4,Clarence,10/02/16,"Sean, Emi, Betka",,Grazed,1590253,5300598,1140,155,12,Convex,Face,3,Good,COPche,hare,H,Yes,No cattle for >1km
PT,1Fe,Pig Trough,06/02/16,"Sean, Lizzie, Emi",,,1603552,5315982,940,235,22,Convex,Face,2.5,Good,POAcol,hare,L,Yes,All Pimela in Pig Trough ided as PIMser was PIMore
PT,1Fe,,,,,,,,,,,,,,,,,,,Some sign of cattle near plot (inside fence). All pegs found
PT,1Un,Pig Trough,06/02/16,"Sean, Lizzie, Emi",Colluvial,Grazed,1603523,5315991,925,280,22,Linear,Face,3,Good,MELalp,hare,M,Yes,"C, D and Center pegs up rooted"
PT,1Un,,,,,,,,,,,,,,,POAcol,cattle,M,Yes,
PT,2Fe,Pig Trough,06/02/16,"Sean, Lizzie, Emi",Colluvial,,1603431,5315772,910,30,23,Linear,Face,2.5,Good,HOLlan,hare,L,Yes,All pegs found intact
PT,2Un,Pig Trough,06/02/16,"Sean, Lizzie, Emi",Colluvial,Grazed,1603376,5315815,920,360,30,Linear,Face,2,Good,ANTsol,cattle,M,Yes,"D and C pegs up rooted, A peg crushed"
PT,2Un,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
PT,3Fe,Pig Trough,06/02/16,"Sean, Lizzie, Emi",Colluvial,,1603905,5316170,1115,170,2,Linear,Face,3,Good,MELalp,hare,H,Yes,
PT,3Un,Pig Trough,06/02/16,"Sean, Lizzie, Emi",,,1603906,5316177,1115,300,23,Convex,Face,3,Good,POApra,chamois,L,Yes,All pegs found
PT,3Un,,,,,,,,,,,,,,,POAcol,hare,L,Yes,
Q,1,Ribble,29/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1595996,5301276,935,254,24,Linear,Face,3,Good,CRMaus,hare,H,Yes,All pegs intact
Q,2,Ribble,29/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1596072,5301452,950,284,36,Linear,Face,2.5,Good,POAcol,hare,L,Yes,B corner peg up rooted on scree slide.
Q,2,,,,,,,,,,,,,,,POAcol,possum,L,Yes,
Q,2,,,,,,,,,,,,,,,CRMaus,hare,L,,
Q,3,Ribble,29/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1596142,5301631,950,320,28,Concave,Gully,3.5,Good,POAcol,hare,M,Yes,
Q,3,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
Q,3,,,,,,,,,,,,,,,MELalp,possum,M,Yes,
Q,4,Ribble,29/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1596207,5301814,980,,,Linear,Face,3,Good,MELalp,hare,H,Yes,All pegs found.
Q,4,,,,,,,,,,,,,,,CRMaus,hare,H,Yes,
R,1,Hossack,23/02/16,"Sean, Emi, Betka",Alluvial,Grazed,1601669,5307038,695,125,1,Linear,Terrace,5,Poor,PHLpra,cattle,M,Yes,All five pegs trampled
R,1,,,,,,,,,,,,,,,FESrub,cattle,M,,
R,1,,,,,,,,,,,,,,,HOLlan,cattle,L,,
R,1,,,,,,,,,,,,,,,POApra,cattle,L,,
R,1,,,,,,,,,,,,,,,POAtri,cattle,L,,
R,2,Hossack,28/02/16,"Sean, Emi, Betka",,Grazed,1601746,5307218,722,125,13,Linear,Face,3,Good,POAcol,hare,L,Yes,A corner peg up rooted and center.
R,3,Hossack,28/02/16,"Sean, Emi, Betka",,Grazed,1601826,5307407,770,310,21,Linear,Face,3,Good,CRMaus,hare,H,Yes,"All pegs found, Center peg crushed"
R,4,Hossack,28/02/16,"Sean, Emi, Betka",Colluvial,,1601908,5307576,822,150,26,Linear,Face,3,Good,CARbre,hare,M,Yes,D corner up rooted
R,4,,,,,,,,,,,,,,,POAcol,hare,L,Yes,
R,4,,,,,,,,,,,,,,,CHIfla,hare,M,Yes,
S,1,Rough Creek,01/02/16,"Sean, Lizzie, Emi",Colluvial,None,1616634,5316442,1325,225,35,Linear,Face,2,Good,,,,,
Saxton,1,Saxton,11/01/16,"Sean, Lizzie, Emi",Colluvial,Grazed,1617125,5355241,1260,95,5,Linear,Terrace,2,Good,FESmat,cattle,,Yes,Fenced paor to S2
Saxton,1,,,,,,,,,,,,,,,FESmat,hare,,Yes,Nice landing sites near plot. Good camping
Saxton,1,,,,,,,,,,,,,,,,geese,,Yes,
S,2,Rough Creek,01/02/16,"Sean, Lizzie, Emi",Colluvial,None,1616546,5316260,1320,265,32,Linear,Face,3,Good,MELalp,hare,H,Yes,
Saxton,2,Saxton,10/01/16,"Sean, Lizzie, Emi",Colluvial,Grazed,1617074,5355151,1250,90,5,Linear,Terrace,4,Good,RYTset,hare,M,Yes,Fenced pair to S1
S,3,Rough Creek,01/02/16,"Sean, Lizzie, Emi",Colluvial,None,1616461,5316089,1275,140,5,Linear,Ridge,3,Good,POAcol,hare,L,Yes,
Saxton,3,Saxton,11/01/16,"Sean, Lizzie, Emi",Colluvial,,1615532,5354521,1480,20,12,Linear,Face,3,Good,CHIfla,hare,L,Yes,
Saxton,3,,,,,,,,,,,,,,,,deer,,Yes,
Saxton,3,,,,,,,,,,,,,,,,geese,,Yes,
S,4,Rough Creek,01/02/16,"Sean, Lizzie, Emi",Colluvial,None,1616378,5315917,1230,200,20,Linear,Ridge,3,Good,RYTset,hare,L,Yes,
Saxton,4,Saxton,11/01/16,"Sean, Lizzie, Emi",,,1615571,5354684,1450,35,5,Linear,Terrace,3,Poor,CHIfla,deer,L,Yes,"Plot marked in 1989, but not measured prev"
Saxton,4,,,,,,,,,,,,,,,,geese,,Yes,End of plot transect  -2525573   -5916364
Saxton,5,Saxton,12/01/16,"Sean, Lizzie, Emi",Colluvial,Grazed,1614727,5351371,1200,210,12,Linear,Terrace,3,Good,RYTset,cattle,L,Yes,Cattle in vicinity of plot
Saxton,5,,,,,,,,,,,,,,,RYTset,hare,L,Yes,
Saxton,5,,,,,,,,,,,,,,,,geese,,Yes,
Saxton,6,Saxton,12/01/16,"Sean, Lizzie, Emi",Colluvial,,1614533,5351621,1250,180,8,Linear,Terrace,3,Good,,cattle,,Yes,
Saxton,6,,,,,,,,,,,,,,,,hare,,Yes,
Saxton,6,,,,,,,,,,,,,,,,geese,,Yes,
SD,1Fe,Sedgemere,16/02/16,"Sean, Emi, Betka",Morraine,,1594189,5333740,1015,160,11,Convex,Terrace,3,Good,RYTset,hare,L,Yes,
SD,1Un,Sedgemere,16/02/16,"Sean, Emi, Betka",Morraine,Grazed,1594118,5333738,1015,270,5,Linear,Terrace,3,Good,POAcol,hare,L,Yes,No sign of cattle near plot
SD,2Fe,Sedgemere,18/02/16,"Sean, Graeme, Emi, Betka",Morraine,Tracked,1594454,5333356,1010,110,1,Linear,Terrace,2,Good,FESmat,hare,L,Yes,"Cattle were in plot, B corner peg up rooted"
SD,2Fe,,,,,,,,,,,,,,,FESmat,cattle,,Yes,
SD,2Un,Sedgemere,18/02/16,"Sean, Graeme, Emi, Betka",Morraine,Grazed,1594372,5333309,1010,130,2,Linear,Terrace,3,Poor,POAcol,hare,L,Yes,A  and B corner pegs up rooted
SD,2Un,,,,,,,,,,,,,,,FESmat,cattle,L,Yes,
SD,3Fe,Sedgemere,18/02/16,"Sean, Graeme, Emi, Betka",Morraine,Tracked,1594591,5333071,1005,100,2,Linear,Terrace,3,Poor,POAcol,hare,L,Yes,"A, B, C, D, pegs up rooted"
SD,3Fe,,,,,,,,,,,,,,,FESmat,hare,L,Yes,Ajacent to 4WD track from Tarndale
SD,3Un,Sedgemere,18/02/16,"Sean, Graeme, Emi, Betka",Morraine,Tra/Graz,1594531,5333019,1005,80,2,Linear,Terrace,2.5,Poor,FESmat,cattle,L,Yes,
SD,3Un,,,,,,,,,,,,,,,FESmat,hare,L,Yes,
ST,1Fe,Serpentine,20/01/16,"Sean, Lizzie Emi",Colluvial,,1581315,5329460,1150,350,29,Linear,Face,2.5,Good,,,,Geese,
ST,1Fe,,,,,,,,,,,,,,,,,,hare,
ST,1Un,Serpentine,19/01/16,"Sean, Lizzie Emi",Colluvial,Grazed,1581440,5329344,1150,30,25,Linear,Face,3,Good,POAcol,cattle,H,Yes,Only A corner peg found. Others replaced
ST,1Un,,,,,,,,,,,,,,,,deer,,Yes,
ST,1Un,,,,,,,,,,,,,,,,possum,,Yes,
ST,1Un,,,,,,,,,,,,,,,,hare,,Yes,
ST,2Fe,Serpentine,20/01/16,"Sean, Lizzie Emi",Alluvial,,1581391,5329512,1150,150,3,Linear,Terrace,3,Poor,,,,,Most plot pegs not found. Plot relaid
ST,2Un,Serpentine,19/01/16,"Sean, Lizzie Emi",Alluvial,Grazed,1581419,5329402,1150,140,1,Linear,Terrace,3,Poor,TRIrep,cattle,M,Yes,A corner peg replaced. Other pegs under 10cm of silt. Turf from grazing. Distinctive small bolders at A corner
ST,2Un,,,,,,,,,,,,,,,FESrub,cattle,H,,see photo.
ST,2Un,,,,,,,,,,,,,,,HOLlan,cattle,H,,
ST,2Un,,,,,,,,,,,,,,,POAcol,cattle,H,,
ST,2Un,,,,,,,,,,,,,,,LOTped,cattle,L,,
ST,2Un,,,,,,,,,,,,,,,FESnov,cattle,M,,
ST,3Fe,Serpentine,20/01/16,"Sean, Lizzie Emi",Colluvial,,1581450,5329568,1150,170,4,Concave,Gully,3,Poor,,,,,Wet
ST,3Un,Serpentine,20/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1581480,5329554,1160,170,3,Linear,Terrace,3,Poor,CHImac,cattle,L,Yes,
ST,3Un,,,,,,,,,,,,,,,POAcol,cattle,L,,
ST,3Un,,,,,,,,,,,,,,,CHIrub,hare,L,Yes,
ST,3Un,,,,,,,,,,,,,,,SCHpau,hare,L,,
ST,3Un,,,,,,,,,,,,,,,FESmat,hare,L,,
ST,3Un,,,,,,,,,,,,,,,AGRcap,cattle,L,,
ST,4Fe,Serpentine,20/02/16,"Sean, Emi, Betka",Colluvial,,1581450,5329636,1170,240,17,Convex,Face,3,Good,CHImac,cattle,L,Yes,All pegs found intact. Sign of cattle behind fence
ST,4Fe,,,,,,,,,,,,,,,CHImac,hare,L,Yes,
ST,4Un,Serpentine,20/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1581494,5329619,1175,150,11,Concave,Face,3,Medium,CHImac,cattle,L,Yes,
ST,4Un,,,,,,,,,,,,,,,CHImac,hare,L,Yes,
ST,4Un,,,,,,,,,,,,,,,POAcol,hare,L,,
ST,5Fe,Serpentine,20/02/16,"Sean, Emi, Betka",Colluvial,,1581495,5329718,1190,210,10,Linear,Face,3,Good,CHImac,hare,L,Yes,
ST,5Un,Serpentine,27/03/16,"Sean, Lizzie",Morraine,Grazed,1581506,5329716,1190,125,18,Concave,Ridge,3.5,Good,RYTset,hare,L,Yes,"Center peg uprooted, A peg crashed. No sign of cattle"
ST,5Un,,,,,,,,,,,,,,,CHIaus,hare,L,Yes,
ST,5Un,,,,,,,,,,,,,,,CHImac,hare,L,Yes,
ST,6Fe,Serpentine,26/03/16,"Sean, Lizzie",Morraine,,1581496,5329793,1205,180,7,Concave,Ridge,3,Good,CHImac,hare,L,Yes,All pegs found intact
ST,6Un,Serpentine,26/03/16,"Sean, Lizzie",Morraine,Grazed,1581504,5329797,1211,130,15,Concave,Ridge,3.5,Good,CHImac,hare,L,Yes,A corner peg crushed
ST,6Un,,,,,,,,,,,,,,,CHIaus,cattle,L,Yes,
SW,1Fe,Sedgemere,16/02/16,"Sean, Emi, Betka",Alluvial,,1593974,5334127,1010,290,1,Linear,Terrace,3,Poor,FESrub,geese,L,Yes,All pegs found intact
SW,1Un,Sedgemere,16/02/16,"Sean, Emi, Betka",,Grazed,1593937,5334112,1010,350,1,Linear,Terrace,3,Poor,AGRcan,cattle,L,Yes,Cattle reluctant to tavel through swamp to SW plots. Much less cattle sign than Tarndale side of swamp.
SW,1Un,,,,,,,,,,,,,,,FESrub,cattle,L,Yes,D peg crushed
SW,1Un,,,,,,,,,,,,,,,HOLlan,cattle,L,Yes,
SW,2Fe,Sedgemere,14/02/16,"Sean, Emi, Betka",Alluvial,,1593839,5334324,1005,60,1,Linear,Terrace,3,Poor,,,,,No browse
SW,2Un,Sedgemere,14/02/16,"Sean, Emi, Betka",Alluvial,Grazed,1593815,5334340,1000,90,1,Linear,Terrace,3,Poor,,,,,No recent grazing near plot
SW,3Fe,Sedgemere,14/02/16,"Sean, Emi, Betka",Alluvial,,1593766,5334521,1000,330,1,Linear,Terrace,3,Poor,,,,,No Browse
SW,3Un,Sedgemere,14/02/16,"Sean, Emi, Betka",Alluvial,Grazed,1593692,5334489,1010,20,2,Linear,Terrace,3,Poor,,,,,"Cattle have access, but no sign of grazing near plot"
WR,1Fe,Wairau River,05/02/16,"Sean, Emi",Colluvial,None,1580057,5332698,1240,210,6,Concave,Terrace,3,Good,CHImac,hare,L,Yes,
WR,1Un,Wairau River,05/02/16,"Sean, Emi",Colluvial,None,1580061,5332696,1230,140,8,Linear,Terrace,3,Good,RYTset,hare,L,Yes,All five pegs up rooted. Plot reconstructed from D (which was found on ground)
WR,2Fe,Wairau River,05/02/16,"Sean, Emi",Morraine,None,1580027,5332396,1290,290,14,Convex,Ridge,3,Good,MELalp,hare,M,Yes,All pegs found intact
WR,2Fe,,,,,,,,,,,,,,,CHImac,hare,L,Yes,
WR,2Un,Wairau River,03/02/16,"Sean, Emi",Morraine,,1580032,5332392,1275,20,10,Convex,Ridge,3,Good,RYTset,cattle,M,Yes,"A,C and Center Pegs up rooted. B peg crushed and buried"
WR,2Un,,,,,,,,,,,,,,,RYTset,hare,L,Yes,
WR,3Fe,Wairau River,03/02/16,"Sean, Emi",Morraine,None,1579956,5332295,1300,320,9,Concave,Ridge,3,Good,RYTset,hare,M,Yes,A corner peg removed and replaced center peg crushed
WR,3Un,Wairau River,03/02/16,"Sean, Emi",Morraine,Grazed,1579957,5332288,1295,340,21,Concave,Ridge,3,Good,MUEaxi,hare,H,Yes,"A corner and central pegs trampled and broken, cattle near plot"
WR,3Un,,,,,,,,,,,,,,,FESrub,cattle,M,Yes,
Z1,1,Bunkers,07/01/16,"Sean, Emi, Betka",Colluvial,Grazed,1594280,5310247,1053,140,28,Concave,Face,3,Good,CHIfla,hare,L,Yes,"No cattle this high up slope, all pegs found."
Z1,1,,,,,,,,,,,,,,,CHIfla,deer,L,Yes,
Z1,2,Bunkers,07/01/16,"Sean, Emi, Betka",Colluvial,Grazed,1594432,5310636,1191,182,33,Convex,Face,3,Good,CHIfla,chamois,L,Yes,No cattle this high up valley. Center and C pegs up rooted.
Z1,2,,,,,,,,,,,,,,,CHIfla,hare,L,Yes,
Z1,3,Bunkers,07/01/16,"Sean, Emi, Betka",Colluvial,Grazed,1594494,5310788,1302,230,28,Linear,Face,3,Good,CHIfla,hare,M,Yes,No cattle this high. All pegs found.
Z1,4,Bunkers,07/01/16,"Sean, Emi, Betka",Colluvial,,1594560,5310927,1396,140,29,Convex,Face,3.5,Good,CHImac,deer,L,Yes,Center peg up rooted.
Z1,4,,,,,,,,,,,,,,,CHImac,hare,L,Yes,
Z2,1,Boundary Stream,23/01/16,"Sean, Lizzie, Emi",Colluvial,Grazed,1598109,5311936,815,355,24,Linear,Face,2,Good,MELalp,hare,H,Yes,
Z2,2,Boundary Stream,23/01/16,"Sean, Lizzie, Emi",,Grazed,1598195,5312131,815,170,26,Linear,Face,2.5,Good,MELalp,hare,M,Yes,
Z2,3,Boundary Stream,23/01/16,"Sean, Lizzie, Emi",,Grazed,1598265,5312288,910,110,16,Convex,Ridge,,Good,MELalp,hare,M,Yes,
Z2,3,,,,,,,,,,,,,,,POAcol,cattle,L,Yes,
Z2,4,Boundary Stream,23/01/16,"Sean, Lizzie, Emi",Colluvial,Grazed,1598346,5312465,900,145,25,Linear,Face,3,Good,ACIaur,hare,L,Yes,Valley stocked with several hundred cattle. Acheron
Z2,4,,,,,,,,,,,,,,,MELalp,hare,H,Yes,
Z2,4,,,,,,,,,,,,,,,COPpro,hare,M,Yes,
Z2,4,,,,,,,,,,,,,,,ANTodo,cattle,L,Yes,
